postcode,easting,northing,price
EH7 5EH,326836.0,674542.0,345050
EH6 6DE,326890.0,676206.0,135000
EH12 9AH,319824.0,671868.0,159000
EH5 2GS,323002.0,676085.0,177000
EH10 6TG,324938.0,668685.0,503500
EH12 8PP,320024.0,673641.0,406500
EH6 6EZ,326587.0,676859.0,327500
EH16 4TE,327870.0,671095.0,375000
EH4 8FH,318127.0,674584.0,999995
EH11 3LT,320545.0,671516.0,187500
EH11 2DE,324090.0,672913.0,165000
EH4 6QG,319190.0,676497.0,850000
EH12 5XD,321777.0,672539.0,192000
EH11 4SP,320675.0,670792.0,187698
EH3 8DE,324553.0,673129.0,370000
EH12 0DE,317282.0,673388.0,571995
EH12 5SN,321753.0,672913.0,201400
EH11 4SP,320675.0,670792.0,187698
EH12 5XD,321777.0,672539.0,192000
EH11 2DE,324090.0,672913.0,165000
EH10 5NX,324361.0,670784.0,531238
EH12 5NX,322882.0,673199.0,165277
EH14 1XJ,322962.0,671383.0,240000
EH4 2GJ,323197.0,675486.0,293000
EH14 5JE,318654.0,668420.0,340000
EH11 1RL,323265.0,671569.0,440444
EH10 4ES,324673.0,672229.0,345000
EH12 7SJ,319931.0,672932.0,207500
EH4 4QD,321499.0,676007.0,170000
EH6 5GB,326193.0,675919.0,260500
EH16 4FY,329702.0,671307.0,195000
EH13 9HB,323429.0,669185.0,132700
EH9 2EP,326291.0,671745.0,540230
EH8 7LG,328734.0,673415.0,420000
EH14 5HR,318510.0,668151.0,325000
EH11 1BS,323982.0,672480.0,185000
EH11 1DT,323698.0,672266.0,186000
EH10 5BP,323750.0,671581.0,435000
EH14 3HB,319323.0,669519.0,306050
EH5 3QD,324493.0,676108.0,316000
EH15 2BG,330754.0,673838.0,415000
EH11 1GW,322907.0,671965.0,240000
EH8 7NT,328668.0,672972.0,205200
EH12 5UW,321600.0,672654.0,315750
EH6 8HW,327203.0,675777.0,410000
EH6 6DD,326914.0,676123.0,247000
EH15 1BF,330040.0,673937.0,321995
EH12 0BB,316925.0,673734.0,377027
EH14 5AT,317231.0,667515.0,270470
EH4 8FE,318109.0,674479.0,420000
EH12 0ED,317006.0,673393.0,679995
EH3 9QL,324836.0,672860.0,205880
EH6 5GB,326193.0,675919.0,210000
EH11 4QJ,319942.0,670389.0,250000
EH28 8JT,314300.0,671110.0,510000
EH17 8PH,328849.0,668365.0,210000
EH4 1DD,323729.0,674509.0,385000
EH15 2HD,331908.0,673359.0,805000
EH3 9PP,324449.0,672535.0,360000
EH6 5JB,326739.0,676129.0,231000
EH7 5FX,327542.0,674650.0,215000
EH7 5ST,327191.0,674470.0,155000
EH7 5PA,327087.0,674869.0,191587
EH10 4NG,324338.0,672295.0,430000
EH7 5QW,327131.0,674921.0,140000
EH12 0ED,317006.0,673393.0,699995
EH10 4AW,324742.0,671425.0,448000
EH21 8SY,332289.0,671834.0,410051
EH10 4FF,324577.0,672357.0,595000
EH9 3AD,326693.0,671405.0,856000
EH9 2DF,326662.0,671477.0,317100
EH16 5ER,327560.0,671680.0,155000
EH7 5HR,326396.0,674813.0,280000
EH9 3DF,326567.0,670841.0,339500
EH11 2TH,323672.0,672964.0,250000
EH9 3BS,326616.0,671167.0,621126
EH11 1SG,323340.0,671905.0,315000
EH15 3ND,329693.0,672498.0,725000
EH16 5DA,327233.0,671952.0,855000
EH10 5AH,324142.0,671864.0,595000
EH16 6FB,327893.0,668720.0,225345
EH6 5FB,326087.0,675395.0,225000
EH8 7JR,328501.0,673683.0,48836
EH6 6JA,327010.0,676553.0,405180
EH6 8PY,327057.0,675547.0,240500
EH4 1DT,324141.0,674638.0,383000
EH9 3JA,326260.0,670996.0,300000
EH14 1NW,322857.0,671719.0,145000
EH6 5HY,326812.0,675994.0,215000
EH7 4DJ,325847.0,675022.0,290000
EH4 2AW,321609.0,675156.0,480000
EH4 1DU,324104.0,674652.0,278000
EH1 1SX,326215.0,673586.0,235000
EH12 7TD,319550.0,672552.0,178000
EH12 7PU,319577.0,672393.0,285000
EH10 4PQ,324149.0,672353.0,326000
EH1 3PY,325646.0,674394.0,365000
EH15 3EH,330442.0,671935.0,455000
EH12 8EN,318972.0,673225.0,520000
EH16 5TG,328111.0,670258.0,215999
EH14 5HE,318787.0,668471.0,294500
EH8 7BY,328736.0,674225.0,168000
EH9 1HL,325527.0,672387.0,360000
EH6 7PX,328139.0,675479.0,277500
EH12 8DX,319198.0,673432.0,320000
EH12 7TD,319550.0,672552.0,200000
EH3 9HP,325135.0,672856.0,352500
EH7 4PU,326390.0,675245.0,150000
EH15 2LT,332053.0,673284.0,777777
EH12 5SH,321857.0,673058.0,370199
EH5 2PU,323753.0,676022.0,480000
EH3 5DZ,325143.0,674970.0,400000
EH10 5HA,324350.0,671321.0,395000
EH14 5LP,318473.0,668117.0,382549
EH14 5DU,319673.0,668901.0,287600
EH4 5BZ,320643.0,675464.0,370000
EH6 7AF,327251.0,676301.0,660000
EH9 1TP,325694.0,672301.0,102000
EH14 1PJ,322664.0,671662.0,165000
EH6 8DB,327505.0,675450.0,217000
EH10 5ET,324135.0,671565.0,785800
EH6 5HY,326812.0,675994.0,193500
EH10 4HX,324698.0,672550.0,370000
EH29 9EU,311817.0,674922.0,270000
EH9 1JB,325559.0,672440.0,290000
EH4 1LN,324477.0,674612.0,400000
EH6 6LS,326760.0,676670.0,235500
EH12 8EF,319036.0,673259.0,625000
EH6 6NY,326399.0,676855.0,290000
EH6 5HU,326840.0,675989.0,200037
EH7 6LA,327714.0,675154.0,170000
EH17 8UH,328287.0,667975.0,208000
EH17 8UN,328264.0,667645.0,390000
EH6 6QB,326997.0,676726.0,245000
EH8 8BT,326597.0,673869.0,285000
EH17 7HL,329268.0,669454.0,214000
EH16 6SR,327771.0,669023.0,148400
EH4 5LY,320913.0,675964.0,390000
EH14 7EF,315901.0,666052.0,190000
EH10 7HG,323614.0,668172.0,395000
EH17 7HS,329436.0,669311.0,187000
EH11 1SN,323239.0,671789.0,318150
EH6 4NA,325558.0,677004.0,227500
EH7 5UA,327559.0,674380.0,190000
EH28 8SD,313299.0,670739.0,190000
EH9 3HY,326138.0,671055.0,420000
EH14 1QP,322449.0,671507.0,155000
EH4 1HX,324412.0,674652.0,330000
EH16 6YQ,326645.0,668640.0,211378
EH4 8GP,318135.0,674464.0,308665
EH8 9NL,326109.0,672714.0,577500
EH30 9RL,312617.0,678235.0,272500
EH17 8GH,327058.0,667640.0,288000
EH1 3RH,325885.0,674431.0,320000
EH7 5EU,327239.0,674725.0,285000
EH21 8SZ,332248.0,671754.0,482500
EH16 4FD,328574.0,671612.0,170000
EH12 8BA,319659.0,673104.0,220000
EH8 8HQ,327068.0,674134.0,184000
EH7 5PJ,326927.0,674606.0,138500
EH3 9GE,325627.0,672912.0,300000
EH4 5BS,320543.0,675344.0,800000
EH4 4PY,321746.0,675854.0,130000
EH8 9NH,326143.0,672711.0,242500
EH6 6ED,326918.0,676329.0,212500
EH4 3QX,321828.0,674532.0,860000
EH8 8HQ,327068.0,674134.0,184000
EH7 5PJ,326927.0,674606.0,138500
EH11 1BZ,323892.0,672507.0,168000
EH4 3QX,321828.0,674532.0,860000
EH3 5LL,325273.0,675219.0,222500
EH10 4FF,324577.0,672357.0,605000
EH3 9NN,324656.0,672564.0,310000
EH10 6RZ,324464.0,668933.0,385000
EH14 1NE,322786.0,671984.0,238250
EH15 1PG,330164.0,672882.0,725000
