postcode,price,easting,northing
SE2 9FB,488800,547376.0,179722.0
SE2 9FB,295000,547376.0,179722.0
SE2 9FB,383050,547376.0,179722.0
SE19 3EE,257500,532478.0,170241.0
SE1 4TL,49000,533109.0,179147.0
SE14 6QL,12000,536881.0,176715.0
SE9 4QW,390000,542093.0,172890.0
SE22 8JD,5250000,,
SE18 1EG,370000,545821.0,178879.0
SW17 9ED,200000,528026.0,170631.0
SE20 8EF,1250000,534687.0,169745.0
SE24 9DL,95000,532095.0,173790.0
E6 1AD,160000,541329.0,184008.0
SW18 2EN,317000,526316.0,174762.0
SW18 2EN,470000,526316.0,174762.0
SW11 3BL,150000,527386.0,176324.0
SE16 3JU,10000,535042.0,178371.0
E12 6PU,220000,542410.0,184713.0
SE23 1JG,126000,536120.0,173405.0
SW2 2AW,80000,530732.0,173934.0
E16 1DB,458375,540437.0,180833.0
E16 1DB,683550,540437.0,180833.0
SW16 1DQ,486330,529286.0,171225.0
SW16 1DQ,386570,529286.0,171225.0
SW16 1DQ,486330,529286.0,171225.0
SW16 1DQ,480095,529286.0,171225.0
E16 1BB,349920,540439.0,180806.0
E13 8QP,300000,540820.0,182342.0
E16 1DA,364320,540439.0,180806.0
E16 1DA,375000,540439.0,180806.0
E16 1BB,444600,540439.0,180806.0
E16 1DB,677360,540437.0,180833.0
SW11 1EJ,10000,527321.0,175123.0
SW11 3JD,650000,526537.0,175748.0
E16 1DB,632000,540437.0,180833.0
E16 1DB,645420,540437.0,180833.0
E16 1DA,461225,540439.0,180806.0
E16 1BB,435100,540439.0,180806.0
SE3 8LS,450000,541924.0,175941.0
SE14 5SL,440000,535712.0,176030.0
SE23 2AA,405000,536435.0,173146.0
SE24 9HS,550000,532404.0,174348.0
SW2 1EB,512500,531131.0,175098.0
N4 3HQ,780000,531264.0,186735.0
NW7 1TB,585000,523940.0,191717.0
W13 8BP,678000,516837.0,180798.0
N19 5EG,690000,529203.0,185973.0
NW6 6SB,1250000,524689.0,183286.0
N13 4ER,600000,531165.0,193001.0
N17 6TW,485000,533186.0,189826.0
W5 2UB,160000,518079.0,181803.0
E5 0QX,550000,535045.0,185688.0
NW2 4EP,1200000,524056.0,184796.0
E17 3RA,425000,538641.0,189568.0
NW3 2BL,630000,528164.0,184442.0
W2 4HP,2588015,525637.0,180592.0
NW8 9DX,1200000,526308.0,183121.0
NW3 2NQ,875000,527473.0,185507.0
SW1H 0AJ,3114200,529725.0,179420.0
W9 2EF,900000,525035.0,181953.0
NW6 3BR,2022000,526246.0,184208.0
N7 8LT,2010000,531360.0,184952.0
SE5 8NQ,6500,533418.0,176422.0
W10 6AN,1230000,523349.0,181782.0
SW10 9HY,2400000,526145.0,177898.0
EC4Y 1AA,4510000,531208.0,181122.0
SE27 0PL,730000,531598.0,171983.0
SE10 8NB,330000,538198.0,177419.0
E11 1AN,650000,539301.0,187773.0
N7 9LP,1085000,530019.0,185080.0
NW8 6BY,2150000,527330.0,183579.0
SW7 4QA,180000,526348.0,178518.0
